chr	pos_start	pos_end	shared_num/methy_in_normal/methy_in_tumor/pos_num	tumor_methy_num/tumor_NONE_methy_num	tumor_methy_ratio	normal_methy_num/normal_NONE_methy_num	normal_methy_ratio	chisq.test_p-value	t.test_p-value	PlotColor
chr1	1251890	1252176	0/3/4/7	40/13	0.75	55/0	1.00	9.00e-05	3.66e-04	blue
chr1	1465947	1465991	2/5/2/5	64/2	0.97	12/8	0.60	6.23e-06	2.27e-05	blue
chr1	1492707	1493092	2/2/8/8	31/6	0.84	155/1	0.99	5.22e-06	5.05e-03	blue
chr1	1611398	1611525	0/4/1/5	56/0	1.00	12/3	0.80	6.27e-04	1.62e-12	blue
chr1	1611398	1611525	0/4/1/5	56/0	1.00	12/3	0.80	6.27e-04	1.62e-12	blue
chr1	1611398	1611525	0/4/1/5	56/0	1.00	12/3	0.80	6.27e-04	1.62e-12	blue
chr1	1904155	1904259	1/1/7/7	6/7	0.46	85/5	0.94	3.92e-07	5.76e-03	blue
chr1	2310428	2310870	0/5/1/6	83/9	0.90	7/14	0.33	5.16e-09	5.35e-03	blue
chr1	2533992	2534134	1/7/1/7	75/29	0.72	5/10	0.33	2.78e-03	2.11e-02	blue
chr1	3552025	3552122	5/5/5/5	110/19	0.85	89/1	0.99	5.78e-04	4.89e-02	blue
chr1	3618052	3618261	6/7/6/7	184/16	0.92	95/21	0.82	7.09e-03	5.52e-03	blue
chr1	3618052	3618261	6/7/6/7	184/16	0.92	95/21	0.82	7.09e-03	5.52e-03	blue
chr1	3710389	3710745	0/4/1/5	22/20	0.52	18/0	1.00	3.36e-04	3.79e-02	blue
chr1	3734900	3734973	5/5/5/5	80/0	1.00	54/7	0.89	1.88e-03	2.41e-02	blue
chr1	4807472	4807771	3/4/5/6	42/17	0.71	55/2	0.96	2.32e-04	6.72e-03	blue
chr1	6590310	6590428	5/7/5/7	105/1	0.99	75/10	0.88	1.42e-03	7.41e-03	blue
chr1	7445310	7445512	6/7/6/7	116/7	0.94	63/19	0.77	2.29e-04	8.88e-03	blue
chr1	7603085	7603178	1/5/2/6	80/2	0.98	19/6	0.76	3.33e-04	2.97e-04	blue
chr1	7633575	7633798	1/4/2/5	41/7	0.85	7/18	0.28	9.31e-07	1.74e-02	blue
chr1	7689455	7689602	1/5/1/5	92/11	0.89	12/7	0.63	3.13e-03	9.48e-04	blue
chr1	8400696	8400912	4/4/6/6	56/1	0.98	72/21	0.77	4.66e-04	2.68e-02	blue
chr1	8527520	8527993	0/10/1/11	182/12	0.94	0/11	0.00	8.76e-22	1.58e-06	blue
chr1	8831308	8831451	2/6/2/6	121/9	0.93	27/11	0.71	2.26e-04	2.25e-03	blue
chr1	8831308	8831451	2/6/2/6	121/9	0.93	27/11	0.71	2.26e-04	2.25e-03	blue
chr1	8931010	8931166	1/5/2/6	27/65	0.29	20/4	0.83	1.61e-06	2.64e-02	blue
chr1	9024582	9024697	5/5/5/5	74/7	0.91	58/21	0.73	2.83e-03	3.40e-02	blue
chr1	9917154	9917354	1/1/5/5	8/7	0.53	95/7	0.93	9.21e-06	3.52e-02	blue
chr1	10190004	10190277	0/5/1/6	71/0	1.00	11/2	0.85	8.23e-04	0.00e+00	blue
chr1	11551697	11552051	1/9/1/9	158/6	0.96	3/8	0.27	2.98e-16	5.02e-05	blue
chr1	12129765	12129952	4/5/4/5	33/65	0.34	6/52	0.10	1.15e-03	3.33e-02	blue
chr1	12413312	12413372	4/5/4/5	118/2	0.98	51/8	0.86	1.13e-03	2.22e-06	blue
chr1	12712246	12712407	4/6/4/6	116/4	0.97	36/8	0.82	1.22e-03	2.36e-03	blue
chr1	15072255	15072414	2/4/3/5	64/17	0.79	43/0	1.00	1.22e-03	1.54e-02	blue
chr1	15439159	15439371	0/4/1/5	34/20	0.63	15/0	1.00	5.16e-03	4.45e-02	blue
chr1	15533959	15534304	1/5/1/5	92/1	0.99	15/3	0.83	1.16e-03	2.66e-04	blue
chr1	15533959	15534304	1/5/1/5	92/1	0.99	15/3	0.83	1.16e-03	2.66e-04	blue
chr1	15533959	15534304	1/5/1/5	92/1	0.99	15/3	0.83	1.16e-03	2.66e-04	blue
chr1	15533959	15534304	1/5/1/5	92/1	0.99	15/3	0.83	1.16e-03	2.66e-04	blue
chr1	16912961	16913063	4/4/6/6	61/0	1.00	81/16	0.84	8.20e-04	5.22e-03	blue
chr1	16973388	16973589	0/6/1/7	109/7	0.94	1/16	0.06	3.01e-19	7.09e-06	blue
chr1	17266787	17267038	0/4/1/5	57/2	0.97	5/6	0.45	9.79e-07	2.59e-03	blue
chr1	17445417	17445606	6/6/6/6	1/175	0.01	9/74	0.11	6.19e-05	1.86e-02	blue
chr1	18596150	18596511	5/6/5/6	85/4	0.96	42/25	0.63	1.83e-07	5.52e-03	blue
chr1	19002227	19002333	5/5/5/5	23/41	0.36	46/26	0.64	1.14e-03	4.17e-02	blue
chr1	19276087	19276236	1/3/4/6	6/39	0.13	30/13	0.70	7.35e-08	7.05e-04	blue
chr1	21853618	21853724	1/5/1/5	129/14	0.90	6/4	0.60	4.15e-03	6.92e-03	blue
chr1	21853618	21853724	1/5/1/5	129/14	0.90	6/4	0.60	4.15e-03	6.92e-03	blue
chr1	21882356	21882555	1/9/1/9	134/4	0.97	7/3	0.70	9.68e-05	2.73e-05	blue
chr1	21882356	21882555	1/9/1/9	134/4	0.97	7/3	0.70	9.68e-05	2.73e-05	blue
chr1	22412218	22412439	4/5/4/5	133/4	0.97	55/14	0.80	3.09e-05	1.51e-02	blue
chr1	23369166	23369196	1/5/1/5	68/2	0.97	7/3	0.70	9.10e-04	1.65e-03	blue
chr1	23369166	23369196	1/5/1/5	68/2	0.97	7/3	0.70	9.10e-04	1.65e-03	blue
chr1	23728599	23728757	2/4/3/5	66/0	1.00	44/5	0.90	7.97e-03	1.22e-02	blue
chr1	24533723	24533949	3/5/3/5	81/6	0.93	45/15	0.75	2.05e-03	2.22e-02	blue
chr1	26028411	26028658	2/7/2/7	119/17	0.88	15/12	0.56	7.35e-05	1.72e-02	blue
chr1	32136062	32136109	5/5/5/5	0/133	0.00	9/68	0.12	5.58e-05	2.26e-02	blue
chr1	32142289	32142576	0/1/4/5	6/6	0.50	74/3	0.96	8.34e-07	4.40e-03	blue
chr1	32559201	32559304	1/5/1/5	72/2	0.97	9/5	0.64	2.84e-05	1.77e-03	blue
chr1	32776983	32777098	5/5/5/5	66/13	0.84	82/1	0.99	5.54e-04	1.18e-02	blue
chr1	33115484	33115554	2/2/6/6	13/17	0.43	17/97	0.15	6.48e-04	3.85e-02	blue
chr1	33166724	33166805	2/6/2/6	76/1	0.99	20/5	0.80	5.55e-04	1.39e-03	blue
chr1	33424039	33424113	4/4/5/5	53/3	0.95	86/34	0.72	4.93e-04	1.50e-02	blue
chr1	35337551	35337841	5/7/5/7	133/14	0.90	75/28	0.73	2.37e-04	1.36e-03	blue
chr1	35563442	35563541	1/5/1/5	104/23	0.82	5/14	0.26	2.06e-07	1.25e-02	blue
chr1	35842514	35842652	1/2/4/5	17/5	0.77	55/1	0.98	1.79e-03	4.40e-02	blue
chr1	36302103	36302289	4/8/4/8	126/7	0.95	31/12	0.72	3.19e-05	4.07e-07	blue
chr1	36885819	36886056	2/2/5/5	4/23	0.15	55/34	0.62	1.89e-05	1.14e-02	blue
chr1	38229476	38230189	0/11/2/13	3/185	0.02	19/16	0.54	8.15e-22	3.16e-06	blue
chr1	39849234	39849345	2/5/2/5	177/8	0.96	45/8	0.85	5.77e-03	3.34e-02	blue
chr1	40858493	40858567	0/4/1/5	60/1	0.98	15/4	0.79	2.27e-03	6.90e-03	blue
chr1	41164558	41164750	0/3/2/5	35/2	0.95	13/7	0.65	3.45e-03	5.52e-03	blue
chr1	41164558	41164750	0/3/2/5	35/2	0.95	13/7	0.65	3.45e-03	5.52e-03	blue
chr1	41506105	41506450	1/6/1/6	109/2	0.98	17/5	0.77	5.93e-05	5.74e-04	blue
chr1	43203193	43203422	3/3/5/5	15/72	0.17	4/90	0.04	4.40e-03	1.87e-02	blue
chr1	43203193	43203422	3/3/5/5	15/72	0.17	4/90	0.04	4.40e-03	1.87e-02	blue
chr1	43203193	43203422	3/3/5/5	15/72	0.17	4/90	0.04	4.40e-03	1.87e-02	blue
chr1	45346069	45346400	2/5/2/5	102/5	0.95	43/11	0.80	1.67e-03	1.53e-02	blue
chr1	46392735	46392904	4/5/4/5	69/2	0.97	43/9	0.83	5.40e-03	4.02e-02	blue
chr1	46807412	46807640	1/8/1/8	129/7	0.95	4/8	0.33	1.30e-11	1.03e-05	blue
chr1	47812604	47812656	5/5/5/5	59/15	0.80	71/4	0.95	6.27e-03	6.28e-03	blue
chr1	47812604	47812656	5/5/5/5	59/15	0.80	71/4	0.95	6.27e-03	6.28e-03	blue
chr1	48609490	48609605	3/5/3/5	77/6	0.93	21/12	0.64	9.23e-05	3.75e-05	blue
chr1	49813338	49813456	1/4/2/5	60/1	0.98	25/6	0.81	2.45e-03	1.51e-02	blue
chr1	52945388	52945482	3/7/3/7	73/54	0.57	3/30	0.09	7.07e-07	1.99e-03	blue
chr1	53281328	53281402	5/5/5/5	89/1	0.99	75/11	0.87	2.12e-03	2.85e-04	blue
chr1	53393752	53393891	5/6/5/6	11/98	0.10	27/45	0.38	9.36e-06	4.19e-02	blue
chr1	54753599	54753777	1/5/1/5	67/13	0.84	10/11	0.48	5.36e-04	2.33e-02	blue
chr1	54869007	54869222	2/5/2/5	75/15	0.83	11/16	0.41	1.09e-05	1.75e-02	blue
chr1	63267395	63267445	1/1/5/5	8/2	0.80	54/0	1.00	8.41e-04	0.00e+00	blue
chr1	63267395	63267445	1/1/5/5	8/2	0.80	54/0	1.00	8.41e-04	0.00e+00	blue
chr1	67320208	67320377	5/5/5/5	87/2	0.98	69/11	0.86	5.08e-03	2.96e-02	blue
chr1	77981274	77981457	1/5/1/5	17/41	0.29	8/3	0.73	6.02e-03	4.40e-02	blue
chr1	78543699	78543788	4/6/4/6	117/25	0.82	46/0	1.00	2.24e-03	7.30e-06	blue
chr1	84951916	84952041	4/6/4/6	141/7	0.95	53/16	0.77	3.90e-05	9.58e-03	blue
chr1	89663616	89663868	3/5/3/5	3/88	0.03	10/47	0.18	2.88e-03	2.61e-02	blue
chr1	91800205	91800354	3/6/3/6	138/6	0.96	34/10	0.77	1.13e-04	7.46e-03	blue
chr1	92453051	92453194	2/6/2/6	81/3	0.96	19/6	0.76	1.12e-03	2.86e-04	blue
chr1	100362435	100362561	0/1/4/5	10/3	0.77	48/0	1.00	6.42e-04	1.62e-12	blue
chr1	102462051	102462175	2/6/2/6	2/129	0.02	4/21	0.16	5.64e-04	8.35e-03	blue
chr1	109674097	109674285	1/5/1/5	115/5	0.96	10/4	0.71	5.56e-04	6.01e-04	blue
chr1	111772086	111772131	4/5/4/5	63/24	0.72	40/3	0.93	6.42e-03	8.09e-04	blue
chr1	111772086	111772131	4/5/4/5	63/24	0.72	40/3	0.93	6.42e-03	8.09e-04	blue
chr1	113164111	113164169	0/4/1/5	58/16	0.78	5/8	0.38	2.98e-03	2.19e-02	blue
chr1	114166210	114166266	5/5/5/5	95/7	0.93	43/17	0.72	2.03e-04	8.42e-04	blue
