chr	pos_start	pos_end	shared_num/methy_in_normal/methy_in_tumor/pos_num	tumor_methy_num/tumor_NONE_methy_num	tumor_methy_ratio	normal_methy_num/normal_NONE_methy_num	normal_methy_ratio	chisq.test_p-value	t.test_p-value	PlotColor
chr1	1549762	1549885	0/1/4/5	5/5	0.50	0/60	0.00	1.32e-08	1.62e-12	green2
chr1	1549762	1549885	0/1/4/5	5/5	0.50	0/60	0.00	1.32e-08	1.62e-12	green2
chr1	6614658	6614910	1/5/1/5	7/56	0.11	11/4	0.73	2.74e-07	9.01e-03	green2
chr1	6614658	6614910	1/5/1/5	7/56	0.11	11/4	0.73	2.74e-07	9.01e-03	green2
chr1	6614658	6614910	1/5/1/5	7/56	0.11	11/4	0.73	2.74e-07	9.01e-03	green2
chr1	11322993	11323253	2/6/2/6	17/129	0.12	29/8	0.78	6.37e-17	2.01e-02	green2
chr1	16959181	16959330	1/1/5/5	11/5	0.69	105/2	0.98	2.23e-06	9.63e-04	green2
chr1	16971371	16971460	1/5/1/5	5/83	0.06	6/10	0.38	1.41e-04	9.98e-03	green2
chr1	17091678	17091946	5/6/5/6	168/5	0.97	144/22	0.87	4.27e-04	9.12e-03	green2
chr1	24017441	24017576	2/4/3/5	69/12	0.85	67/0	1.00	1.01e-03	8.59e-03	green2
chr1	32536850	32537107	1/8/1/8	107/1	0.99	10/3	0.77	2.44e-05	4.59e-06	green2
chr1	33115484	33115554	2/2/6/6	13/17	0.43	17/97	0.15	6.48e-04	3.85e-02	green2
chr1	33115484	33115554	2/2/6/6	13/17	0.43	17/97	0.15	6.48e-04	3.85e-02	green2
chr1	65730384	65730506	4/5/7/8	15/72	0.17	2/104	0.02	1.80e-04	1.44e-05	green2
chr1	78244471	78244831	3/5/3/5	69/12	0.85	58/0	1.00	2.16e-03	2.41e-02	green2
chr1	108508550	108508782	0/4/1/5	0/53	0.00	2/12	0.14	5.21e-03	1.62e-12	green2
chr1	109419118	109419508	0/3/6/9	31/11	0.74	0/91	0.00	8.09e-21	4.28e-07	green2
chr1	110525848	110526158	1/5/1/5	77/22	0.78	6/14	0.30	2.21e-05	4.45e-02	green2
chr1	111772086	111772131	4/5/4/5	63/24	0.72	40/3	0.93	6.42e-03	8.09e-04	green2
chr1	146697437	146697547	5/6/5/6	7/94	0.07	17/56	0.23	2.02e-03	2.27e-03	green2
chr1	204041556	204041598	1/5/1/5	69/25	0.73	0/15	0.00	4.31e-08	1.66e-02	green2
chr1	227915540	227915676	1/4/3/6	60/10	0.86	16/19	0.46	1.55e-05	1.78e-03	green2
chr1	246951747	246952075	0/7/1/8	127/4	0.97	7/5	0.58	1.35e-07	8.21e-06	green2
chr2	26206050	26206159	2/5/2/5	137/13	0.91	20/7	0.74	9.11e-03	3.57e-02	green2
chr2	26394943	26395117	2/7/3/8	60/28	0.68	13/20	0.39	3.94e-03	1.17e-02	green2
chr2	43824233	43824278	0/4/1/5	49/2	0.96	8/3	0.73	9.89e-03	9.02e-03	green2
chr2	43824233	43824278	0/4/1/5	49/2	0.96	8/3	0.73	9.89e-03	9.02e-03	green2
chr2	44395459	44395548	0/4/1/5	0/52	0.00	2/14	0.12	9.66e-03	1.62e-12	green2
chr2	47144079	47144428	0/5/1/6	71/8	0.90	3/10	0.23	1.85e-08	3.74e-03	green2
chr2	47144079	47144428	0/5/1/6	71/8	0.90	3/10	0.23	1.85e-08	3.74e-03	green2
chr2	47799120	47799353	0/1/4/5	3/8	0.27	1/49	0.02	2.17e-03	6.20e-03	green2
chr2	70140943	70141240	4/9/6/11	49/87	0.36	68/10	0.87	4.68e-13	3.85e-03	green2
chr2	70521203	70521516	0/1/5/6	2/13	0.13	0/81	0.00	8.97e-04	0.00e+00	green2
chr2	74735533	74735607	1/3/3/5	28/4	0.88	11/21	0.34	1.33e-05	3.97e-03	green2
chr2	85830800	85831007	0/4/3/7	11/47	0.19	30/7	0.81	2.51e-09	4.91e-04	green2
chr2	87303970	87304015	1/1/5/5	4/9	0.31	0/82	0.00	2.86e-07	0.00e+00	green2
chr2	88927716	88928017	0/4/1/5	0/78	0.00	2/8	0.20	6.46e-05	1.62e-12	green2
chr2	96930720	96930862	1/5/1/5	0/86	0.00	2/13	0.13	6.26e-04	0.00e+00	green2
chr2	102092003	102092105	2/4/4/6	42/22	0.66	62/7	0.90	7.22e-04	1.55e-02	green2
chr2	110370972	110371030	1/1/5/5	3/9	0.25	0/99	0.00	4.57e-07	0.00e+00	green2
chr2	113298944	113298954	5/5/5/5	72/44	0.62	12/104	0.10	2.48e-16	1.24e-06	green2
chr2	131511127	131511264	2/5/2/5	60/3	0.95	16/6	0.73	3.13e-03	9.86e-03	green2
chr2	133015879	133016026	5/5/5/5	122/25	0.83	64/34	0.65	1.51e-03	3.72e-02	green2
chr2	133015879	133016026	5/5/5/5	122/25	0.83	64/34	0.65	1.51e-03	3.72e-02	green2
chr2	158454174	158454357	0/3/3/6	56/8	0.88	1/60	0.02	5.74e-22	2.75e-04	green2
chr2	164592812	164592854	5/5/5/5	7/56	0.11	0/67	0.00	5.03e-03	9.70e-07	green2
chr2	176972068	176972089	1/1/5/5	4/10	0.29	4/66	0.06	7.82e-03	1.50e-03	green2
chr2	189157174	189157315	1/10/1/10	5/118	0.04	4/6	0.40	1.36e-05	2.02e-04	green2
chr2	203777824	203778035	1/1/5/5	25/3	0.89	26/96	0.21	7.50e-12	3.39e-02	green2
chr2	208890356	208890548	0/4/1/5	1/72	0.01	3/14	0.18	3.36e-03	1.17e-02	green2
chr3	47843727	47843913	0/4/2/6	52/6	0.90	0/29	0.00	9.04e-16	2.72e-06	green2
chr3	57236039	57236103	4/4/5/5	56/10	0.85	79/2	0.98	5.22e-03	1.32e-03	green2
chr3	172167421	172167527	3/5/3/5	18/75	0.19	0/50	0.00	8.77e-04	2.04e-02	green2
