chr	pos_start	pos_end	shared_num/methy_in_normal/methy_in_tumor/pos_num	tumor_methy_num/tumor_NONE_methy_num	tumor_methy_ratio	normal_methy_num/normal_NONE_methy_num	normal_methy_ratio	chisq.test_p-value	t.test_p-value	PlotColor
chr1	8716155	8716295	5/5/5/5	148/22	0.87	100/1	0.99	6.42e-04	5.64e-03	magenta
chr1	145075789	145075801	4/5/4/5	12/86	0.12	0/64	0.00	3.62e-03	1.28e-03	magenta
chr1	152080120	152080180	6/6/6/6	36/106	0.25	4/70	0.05	3.42e-04	1.06e-02	magenta
chr1	152082034	152082109	6/6/6/6	70/296	0.19	6/110	0.05	3.26e-04	2.42e-03	magenta
chr1	152082179	152082385	9/10/9/10	103/390	0.21	6/122	0.05	1.75e-05	6.73e-06	magenta
chr1	155240647	155240713	2/7/2/7	109/1	0.99	14/12	0.54	1.71e-12	9.89e-05	magenta
chr1	203045488	203045603	3/5/3/5	13/55	0.19	0/39	0.00	3.58e-03	4.22e-04	magenta
chr1	212799889	212799949	3/3/5/5	31/7	0.82	54/0	1.00	1.03e-03	2.77e-02	magenta
chr2	1657519	1657698	2/5/2/5	86/14	0.86	27/14	0.66	6.47e-03	2.65e-03	magenta
chr2	85553766	85553841	5/5/5/5	4/124	0.03	11/66	0.14	2.96e-03	5.70e-04	magenta
chr2	130910328	130910588	0/4/1/5	47/1	0.98	7/3	0.70	1.53e-03	4.65e-03	magenta
chr2	192701419	192701603	2/3/4/5	18/56	0.24	56/23	0.71	8.44e-09	4.37e-02	magenta
chr2	198570849	198571034	0/4/1/5	0/58	0.00	4/7	0.36	2.23e-06	1.62e-12	magenta
chr3	4358117	4358204	3/5/3/5	135/0	1.00	49/6	0.89	9.63e-05	1.92e-02	magenta
chr3	46009411	46009574	1/5/1/5	72/3	0.96	9/4	0.69	9.91e-04	8.70e-04	magenta
chr3	149374968	149375058	3/6/3/6	7/118	0.06	9/23	0.28	1.71e-04	8.73e-03	magenta
chr3	160149560	160149761	2/7/2/7	130/2	0.98	20/6	0.77	4.57e-06	4.86e-04	magenta
