chr	pos_start	pos_end	shared_num/methy_in_normal/methy_in_tumor/pos_num	tumor_methy_num/tumor_NONE_methy_num	tumor_methy_ratio	normal_methy_num/normal_NONE_methy_num	normal_methy_ratio	chisq.test_p-value	t.test_p-value	PlotColor
chr1	4485215	4485356	4/4/6/6	61/1	0.98	91/26	0.78	2.47e-04	1.37e-02	gold1
chr1	31989870	31989991	2/5/2/5	70/67	0.51	8/27	0.23	2.75e-03	1.50e-02	gold1
chr1	32568841	32569034	2/7/2/7	128/0	1.00	25/3	0.89	1.84e-04	1.06e-04	gold1
chr2	25382434	25382680	3/5/3/5	52/7	0.88	72/0	1.00	2.66e-03	1.30e-03	gold1
chr2	25382434	25382680	3/5/3/5	52/7	0.88	72/0	1.00	2.66e-03	1.30e-03	gold1
chr2	70521203	70521516	0/1/5/6	2/13	0.13	0/81	0.00	8.97e-04	0.00e+00	gold1
chr2	85830800	85831007	0/4/3/7	11/47	0.19	30/7	0.81	2.51e-09	4.91e-04	gold1
chr2	133013679	133013794	2/5/2/5	69/36	0.66	11/30	0.27	2.21e-05	1.38e-02	gold1
chr2	234380982	234381258	4/6/4/6	143/4	0.97	77/15	0.84	1.59e-04	2.81e-02	gold1
chr3	51753191	51753385	0/1/4/5	5/5	0.50	0/64	0.00	4.68e-09	1.62e-12	gold1
chr3	169670889	169670956	4/6/4/6	91/1	0.99	49/7	0.88	2.90e-03	1.37e-02	gold1
chr3	179112296	179112424	0/2/3/5	14/10	0.58	35/3	0.92	1.46e-03	1.58e-02	gold1
chr3	179112296	179112424	0/2/3/5	14/10	0.58	35/3	0.92	1.46e-03	1.58e-02	gold1
chr3	196744929	196745081	5/5/5/5	93/15	0.86	83/2	0.98	5.00e-03	4.19e-02	gold1
chr5	54525808	54526061	3/5/3/5	46/38	0.55	15/41	0.27	1.07e-03	4.52e-02	gold1
chr5	87835925	87836062	3/5/3/5	98/18	0.84	22/20	0.52	3.03e-05	4.19e-02	gold1
chr5	99923656	99923745	1/5/1/5	69/3	0.96	9/5	0.64	2.01e-04	1.27e-02	gold1
chr5	138746914	138747069	5/5/6/6	72/1	0.99	102/17	0.86	2.88e-03	2.93e-04	gold1
chr5	174158912	174158965	0/2/3/5	9/20	0.31	0/30	0.00	9.18e-04	1.73e-02	gold1
chr6	28345226	28345522	2/3/6/7	32/9	0.78	80/2	0.98	3.50e-04	1.89e-03	gold1
chr6	29639787	29639979	4/5/4/5	83/6	0.93	49/15	0.77	3.07e-03	2.69e-02	gold1
chr6	31105147	31105185	1/5/1/5	79/2	0.98	7/4	0.64	1.94e-05	2.61e-03	gold1
