chr	pos_start	pos_end	shared_num/methy_in_normal/methy_in_tumor/pos_num	tumor_methy_num/tumor_NONE_methy_num	tumor_methy_ratio	normal_methy_num/normal_NONE_methy_num	normal_methy_ratio	chisq.test_p-value	t.test_p-value	PlotColor
chr1	110085263	110085486	1/6/1/6	136/5	0.96	3/11	0.21	1.37e-18	2.74e-04	darkorange2
chr1	149284535	149284570	5/5/5/5	68/52	0.57	99/174	0.36	1.64e-04	3.93e-02	darkorange2
chr1	179334898	179334926	1/1/5/5	2/17	0.11	0/71	0.00	5.70e-03	0.00e+00	darkorange2
chr1	231664533	231664591	1/5/1/5	0/110	0.00	4/10	0.29	1.21e-08	0.00e+00	darkorange2
chr1	231664533	231664591	1/5/1/5	0/110	0.00	4/10	0.29	1.21e-08	0.00e+00	darkorange2
chr2	73912124	73912279	3/6/3/6	65/56	0.54	30/7	0.81	2.93e-03	4.30e-03	darkorange2
chr2	203777824	203778035	1/1/5/5	25/3	0.89	26/96	0.21	7.50e-12	3.39e-02	darkorange2
chr3	4358117	4358204	3/5/3/5	135/0	1.00	49/6	0.89	9.63e-05	1.92e-02	darkorange2
chr3	140978975	140979108	0/1/4/5	11/5	0.69	56/0	1.00	1.45e-05	1.62e-12	darkorange2
chr3	154798152	154798280	1/5/1/5	4/141	0.03	5/27	0.16	2.71e-03	2.75e-02	darkorange2
chr5	78808903	78809076	1/2/6/7	3/23	0.12	0/94	0.00	8.52e-04	3.53e-04	darkorange2
chr5	127873613	127873813	1/12/1/12	3/366	0.01	2/9	0.18	6.31e-07	6.63e-09	darkorange2
chr6	2991223	2991368	5/5/5/5	37/84	0.31	11/73	0.13	3.65e-03	4.71e-03	darkorange2
chr6	2991223	2991368	5/5/5/5	37/84	0.31	11/73	0.13	3.65e-03	4.71e-03	darkorange2
chr7	72443352	72443429	4/5/4/5	106/35	0.75	45/3	0.94	5.55e-03	3.88e-02	darkorange2
chr7	72605542	72605686	3/6/3/6	116/17	0.87	33/13	0.72	1.54e-02	1.70e-02	darkorange2
chr7	72605542	72605686	3/6/3/6	116/17	0.87	33/13	0.72	1.54e-02	1.70e-02	darkorange2
chr7	100861224	100861379	1/2/8/9	3/21	0.12	0/123	0.00	7.44e-05	4.79e-06	darkorange2
chr9	14313558	14313624	1/1/5/5	2/17	0.11	0/109	0.00	6.40e-04	0.00e+00	darkorange2
chr13	92005080	92005175	3/5/3/5	62/15	0.81	45/0	1.00	1.57e-03	8.81e-03	darkorange2
chr14	74318762	74318942	1/1/6/6	2/11	0.15	1/92	0.01	3.57e-03	2.33e-03	darkorange2
chr15	32908333	32908403	1/5/1/5	1/126	0.01	2/14	0.12	2.06e-03	8.56e-03	darkorange2
chr15	102501729	102501749	1/5/1/5	0/81	0.00	2/11	0.15	3.59e-04	0.00e+00	darkorange2
chr16	2693725	2694066	2/7/2/7	105/6	0.95	15/13	0.54	1.63e-08	5.09e-05	darkorange2
chr16	12010481	12010680	3/4/4/5	80/4	0.95	59/23	0.72	4.81e-05	2.69e-02	darkorange2
chr17	30367458	30367586	1/5/1/5	92/6	0.94	3/8	0.27	3.84e-10	2.48e-03	darkorange2
chr19	49184823	49184953	2/2/5/5	26/0	1.00	71/22	0.76	6.02e-03	5.01e-03	darkorange2
chr20	61669406	61669627	3/3/6/6	27/11	0.71	132/3	0.98	9.49e-08	9.23e-04	darkorange2
chr21	9968558	9968619	5/6/7/8	30/60	0.33	76/46	0.62	3.07e-05	2.61e-03	darkorange2
chr22	20073233	20073389	3/9/3/9	154/1	0.99	72/10	0.88	5.81e-05	2.22e-03	darkorange2
