chr	pos_start	pos_end	shared_num/methy_in_normal/methy_in_tumor/pos_num	tumor_methy_num/tumor_NONE_methy_num	tumor_methy_ratio	normal_methy_num/normal_NONE_methy_num	normal_methy_ratio	chisq.test_p-value	t.test_p-value	PlotColor
chr1	6614658	6614910	1/5/1/5	7/56	0.11	11/4	0.73	2.74e-07	9.01e-03	cyan2
chr1	11322993	11323253	2/6/2/6	17/129	0.12	29/8	0.78	6.37e-17	2.01e-02	cyan2
chr1	16861176	16861256	5/6/5/6	66/48	0.58	14/44	0.24	2.71e-05	2.57e-02	cyan2
chr1	16971371	16971460	1/5/1/5	5/83	0.06	6/10	0.38	1.41e-04	9.98e-03	cyan2
chr1	67600502	67600644	2/8/2/8	17/129	0.12	10/14	0.42	1.92e-04	1.72e-04	cyan2
chr1	117453429	117453510	1/5/1/5	7/86	0.08	6/7	0.46	6.98e-05	4.35e-03	cyan2
chr1	145075789	145075801	4/5/4/5	12/86	0.12	0/64	0.00	3.62e-03	1.28e-03	cyan2
chr1	145382439	145382477	4/5/4/5	21/97	0.18	0/49	0.00	1.59e-03	8.67e-04	cyan2
chr1	147718157	147718217	5/5/5/5	141/25	0.85	58/39	0.60	4.53e-06	2.53e-03	cyan2
chr1	152080120	152080180	6/6/6/6	36/106	0.25	4/70	0.05	3.42e-04	1.06e-02	cyan2
chr1	161411577	161411617	5/5/5/5	121/257	0.32	24/98	0.20	9.02e-03	7.79e-05	cyan2
chr1	161419161	161419255	6/6/6/6	448/392	0.53	77/132	0.37	1.98e-05	1.78e-02	cyan2
chr1	161419272	161419316	6/6/6/6	268/322	0.45	39/102	0.28	1.23e-04	2.22e-03	cyan2
chr1	161424641	161424728	13/13/13/13	149/524	0.22	28/325	0.08	1.05e-08	4.33e-05	cyan2
chr1	161426116	161426137	1/1/5/5	8/11	0.42	8/77	0.09	3.56e-04	2.50e-03	cyan2
chr1	161426734	161426755	5/5/5/5	68/95	0.42	24/70	0.26	9.14e-03	6.79e-03	cyan2
chr1	161427958	161428042	7/7/7/7	90/105	0.46	25/86	0.23	4.07e-05	9.86e-03	cyan2
chr1	161433430	161433449	2/5/2/5	41/63	0.39	2/21	0.09	4.83e-03	2.87e-02	cyan2
chr1	161433562	161433635	7/7/7/7	40/207	0.16	9/150	0.06	1.47e-03	1.78e-03	cyan2
chr1	161433746	161433793	7/7/7/7	206/360	0.36	72/204	0.26	2.83e-03	1.24e-02	cyan2
chr1	161434084	161434165	9/9/9/9	428/373	0.53	65/129	0.34	6.33e-07	4.25e-04	cyan2
chr1	161434551	161434609	6/6/6/6	85/48	0.64	31/41	0.43	4.03e-03	1.61e-02	cyan2
chr1	161435402	161435415	5/5/5/5	93/121	0.43	29/76	0.28	6.23e-03	1.78e-02	cyan2
chr1	161441059	161441130	5/5/5/5	115/184	0.38	31/124	0.20	6.51e-05	4.82e-03	cyan2
chr1	161441655	161441807	7/8/7/8	129/188	0.41	15/79	0.16	1.01e-05	7.45e-04	cyan2
chr1	170634127	170634356	0/1/5/6	2/8	0.20	0/68	0.00	1.87e-04	0.00e+00	cyan2
chr1	179334898	179334926	1/1/5/5	2/17	0.11	0/71	0.00	5.70e-03	0.00e+00	cyan2
chr1	180202440	180202580	0/5/1/6	0/55	0.00	5/5	0.50	4.81e-08	0.00e+00	cyan2
chr1	228633391	228633724	2/3/17/18	4/28	0.12	0/234	0.00	5.05e-08	1.49e-05	cyan2
chr1	228744948	228744977	5/5/5/5	91/154	0.37	50/44	0.53	7.28e-03	1.52e-02	cyan2
chr1	228745667	228745805	12/12/12/12	277/180	0.61	125/180	0.41	1.05e-07	3.15e-06	cyan2
chr1	228747937	228747955	5/5/5/5	121/52	0.70	33/36	0.48	1.24e-03	2.26e-04	cyan2
